Results from heasarc_fermigtrig: Fermi GBM Trigger Catalog
Coordinate system: Equatorial
|trigger_name|name          |ra        |dec      |time                   |end_time               |trigger_time           |trigger_type|reliability|
|bn240904729 |LOCLPAR2409047|14 47 36.0|-66 02 00|2024-09-04 17:28:01.198|2024-09-04 17:38:15.609|2024-09-04 17:30:16.368|LOCLPAR     |     1.0000|
|bn241224406 |UNRELOC2412244|03 04 40.0|-65 58 00|2024-12-24 09:43:05.786|2024-12-24 09:53:20.198|2024-12-24 09:45:20.509|UNCERT      |     1.0000|
|bn240717901 |TGF240717901  |23 17 52.0|-65 44 00|2024-07-17 21:34:38.463|2024-07-17 21:44:52.873|2024-07-17 21:36:55.969|TGF         |     1.0000|
|bn240323372 |UNCERT24032337|19 28 04.8|-65 36 36|2024-03-23 08:53:17.099|2024-03-23 09:03:31.513|2024-03-23 08:55:30.222|UNCERT      |     1.0000|
|bn240905443 |GRB240905443  |14 20 36.0|-65 31 48|2024-09-05 10:35:13.900|2024-09-05 10:45:28.311|2024-09-05 10:37:30.094|GRB         |     1.0000|
|bn240929236 |TGF240929236  |23 56 43.9|-65 27 00|2024-09-29 05:37:07.308|2024-09-29 05:47:21.719|2024-09-29 05:39:21.695|TGF         |     1.0000|
|bn240713658 |UNRELOC2407136|10 59 24.0|-65 06 00|2024-07-13 15:45:50.881|2024-07-13 15:55:57.099|2024-07-13 15:48:02.083|UNCERT      |     1.0000|
|bn241107378 |UNCERT24110737|08 38 00.0|-64 34 00|2024-11-07 09:02:11.845|2024-11-07 09:12:26.256|2024-11-07 09:04:30.055|UNCERT      |     1.0000|
|bn241002260 |GRB241002260  |22 15 04.8|-64 18 00|2024-10-02 06:12:04.616|2024-10-02 06:22:19.027|2024-10-02 06:14:18.763|GRB         |     0.9725|
|bn240630994 |LOCLPAR2406309|02 31 08.0|-63 59 00|2024-06-30 23:48:57.413|2024-06-30 23:59:11.826|2024-06-30 23:51:09.256|LOCLPAR     |     1.0000|
|bn240511380 |LOCLPAR2405113|06 05 08.0|-63 33 00|2024-05-11 09:06:19.456|2024-05-11 09:14:39.179|2024-05-11 09:06:42.497|LOCLPAR     |     1.0000|
|bn240516150 |GRB240516150  |14 11 13.7|-63 29 16|2024-05-16 03:34:13.764|2024-05-16 03:44:19.984|2024-05-16 03:36:24.838|GRB         |     1.0000|
|bn240511286 |LOCLPAR2405112|07 42 24.0|-63 27 00|2024-05-11 06:49:57.343|2024-05-11 07:00:12.408|2024-05-11 06:52:11.118|LOCLPAR     |     1.0000|
|bn241009871 |LOCLPAR2410098|04 08 09.6|-61 39 00|2024-10-09 20:51:19.541|2024-10-09 21:01:33.953|2024-10-09 20:53:32.663|LOCLPAR     |     1.0000|
|bn240812917 |LOCLPAR2408129|06 23 32.0|-61 35 00|2024-08-12 21:58:37.161|2024-08-12 22:08:51.573|2024-08-12 22:00:50.284|LOCLPAR     |     1.0000|
|bn240512368 |LOCLPAR2405123|05 50 00.0|-61 30 00|2024-05-12 08:49:34.662|2024-05-12 08:57:40.048|2024-05-12 08:49:42.854|LOCLPAR     |     1.0000|
|bn240409849 |UNCERT24040984|08 47 12.0|-61 24 00|2024-04-09 20:20:29.865|2024-04-09 20:30:44.276|2024-04-09 20:22:44.396|UNCERT      |     1.0000|
|bn240827916 |UNCERT24082791|05 50 16.8|-61 16 48|2024-08-27 21:56:19.100|2024-08-27 22:06:33.510|2024-08-27 21:58:33.246|UNCERT      |     1.0000|
|bn240511419 |LOCLPAR2405114|08 40 24.0|-61 16 00|2024-05-11 10:00:42.239|2024-05-11 10:10:56.652|2024-05-11 10:02:58.946|LOCLPAR     |     1.0000|
|bn240227195 |GRB240227195  |04 38 21.6|-61 10 12|2024-02-27 04:37:58.649|2024-02-27 04:42:53.568|2024-02-27 04:40:15.164|GRB         |     0.9725|
|bn240728588 |LOCLPAR2407285|09 17 04.1|-60 49 00|2024-07-28 14:04:45.480|2024-07-28 14:14:55.779|2024-07-28 14:06:56.554|LOCLPAR     |     1.0000|
|bn240606565 |GRB240606565  |02 40 56.2|-60 38 13|2024-06-06 13:30:52.196|2024-06-06 13:41:06.607|2024-06-06 13:33:06.087|GRB         |     1.0000|
|bn240320700 |UNCERT24032070|01 48 16.0|-59 57 00|2024-03-20 16:46:10.499|2024-03-20 16:56:24.911|2024-03-20 16:48:26.693|UNCERT      |     1.0000|
